Image_id,True Label,Count,WordLevel,Ngram,Charlevel,NB Average Prediction
39011800_285850952007996_7980606593874001920_n.jpg,0,0,0,0,0,0.0
134108128_154009946481689_1346114538917217875_n.jpg,1,1,1,0,1,1.0
44219443_707917332906129_5553391552366489798_n.jpg,13,1,1,1,2,1.0
21688705_118639382109641_7757780611065970688_n.jpg,0,0,0,0,0,0.0
21224703_173620793207400_6926191177813196800_n.jpg,2,2,2,2,2,2.0
21227457_685136791656721_3886967826904252416_n.jpg,2,1,1,1,1,1.0
52527558_391371351644897_8620800026078802397_n.jpg,4,0,0,0,0,0.0
67173649_498907937526596_7843741963417942472_n.jpg,2,1,1,0,1,1.0
61776367_323953975197376_4114337906947183376_n.jpg,0,0,0,0,0,0.0
18722419_1911198719161376_3651482574020149248_n.jpg,1,0,1,0,0,0.0
25012950_1403898469721413_6696135008404373504_n.jpg,0,0,0,0,0,0.0
43388275_369942280216658_7430066059396251648_n.jpg,0,1,1,1,1,1.0
40048291_1763068263742519_6211004407778115584_n.jpg,2,3,3,3,2,3.0
103766512_171525524357712_3502122543003055721_n.jpg,4,2,4,4,4,4.0
77065357_564545271014371_43396510172622047_n.jpg,0,0,0,0,0,0.0
10299651_1583110715254181_783665656_n.jpg,0,0,0,0,0,0.0
106509470_278679510040420_1394786420075252284_n.jpg,2,2,1,0,2,1.0
31704145_218723845383168_8115811786394959872_n.jpg,2,4,4,4,4,4.0
151253259_877636343073478_7209929196471937861_n.jpg,2,4,4,0,4,3.0
157081632_124350289690908_7935008155310415881_n.jpg,0,0,0,0,0,0.0
67633468_500039830822515_432928767573812748_n.jpg,1,1,2,0,1,1.0
16464490_392968541075548_8377810752865566720_n.jpg,1,0,0,0,0,0.0
125335036_720183952269987_4703990621756441177_n.jpg,4,4,4,1,4,3.0
173463536_2916022685309763_3480476812575037221_n.jpg,4,4,4,4,4,4.0
14271999_742031472604073_918885096_n.jpg,0,0,0,0,0,0.0
101519420_4105509652822911_1500836239952343847_n.jpg,4,3,3,3,3,3.0
60393688_303969260556895_2012165475942009423_n.jpg,0,1,1,0,0,0.0
11326212_1609651839285624_1161755818_n.jpg,0,0,0,0,0,0.0
22802366_1620178635016062_6895651374768324608_n.jpg,1,0,0,0,0,0.0
38513115_2114934052062874_2056916849450287104_n.jpg,8,0,0,1,2,1.0
21227624_264890537337064_2959727607953752064_n.jpg,1,2,2,0,2,2.0
118783846_323704042210655_3525313656498087512_n.jpg,6,4,4,4,4,4.0
11357722_737541843058883_521304616_n.jpg,0,0,0,0,0,0.0
32280116_213495175936010_817288914438979584_n.jpg,3,3,4,4,2,3.0
117395254_168521834854432_5174095983273587226_n.jpg,3,3,3,3,3,3.0
15538930_389026981437904_7273689405410246656_n.jpg,0,0,0,0,0,0.0
87675566_220177082508670_1218377041813269759_n.jpg,7,1,1,0,1,1.0
122928228_820397472127227_5004317121108893478_n.jpg,3,4,4,4,4,4.0
77129182_418880598790737_1380715164569406232_n.jpg,2,2,1,0,1,1.0
104419120_660580694493680_8329940275894229781_n.jpg,4,1,1,0,0,0.0
47691222_326917231251221_4602073369961920853_n.jpg,2,0,0,0,0,0.0
1172022_252494521568921_1137793379_n.jpg,0,0,0,0,0,0.0
115911423_311054476710671_1312818194623056741_n.jpg,1,0,0,0,0,0.0
71107436_684136102074556_9180237941031361108_n.jpg,4,4,4,4,4,4.0
1391252_355210611281530_61210948_n.jpg,1,2,0,0,0,0.0
41606836_308797023186456_369140865683585917_n.jpg,0,0,0,0,1,0.0
31289064_141616483361284_857897950481743872_n.jpg,1,1,1,0,0,0.0
94582215_1403493376502609_8774450626229903120_n.jpg,1,0,0,0,0,0.0
134827208_408914970348027_6851474233870786242_n.jpg,7,0,0,0,0,0.0
96583157_259649422084732_2295282213492380368_n.jpg,3,0,0,0,0,0.0
21576559_696282473896199_4635975759293317120_n.jpg,0,0,0,0,1,0.0
12393853_1620975641500965_2035539398_n.jpg,0,0,0,0,0,0.0
22857763_774704792732438_4999317060388388864_n.jpg,0,0,0,0,1,0.0
21227691_473862896314209_4349228302204928000_n.jpg,1,1,0,0,1,0.0
127176769_212871980220005_7792989055741943237_n.jpg,3,0,0,0,0,0.0
58453565_2106624306301655_4293239178654848239_n.jpg,1,0,0,0,0,0.0
106262814_151698713151744_1937101260132229995_n.jpg,2,1,1,0,0,0.0
45796952_2128445117483816_6678514470607865096_n.jpg,6,0,0,6,0,2.0
102879898_591968581721114_640650777491029861_n.jpg,1,1,0,0,0,0.0
25011785_186157085301296_2082373936657465344_n.jpg,5,0,0,0,0,0.0
23421150_194473167765137_3435897498051280896_n.jpg,6,4,4,4,4,4.0
127276613_130569741917259_5497314000225098367_n.jpg,3,3,4,4,3,4.0
170252668_2800982940175482_2255056183208646626_n.jpg,0,1,0,1,0,0.0
32161802_253507055222390_2384475845994479616_n.jpg,1,0,0,0,1,0.0
26869186_392599787852119_2494061541414928384_n.jpg,6,2,2,3,2,2.0
11266031_1596540170621996_1425021418_n.jpg,0,0,0,0,2,0.0
10488726_272114019656238_1518560487_n.jpg,0,1,0,0,0,0.0
